name,type,start_time,duration,"data","error"
"Async Serial [1]","data",43.014872008,0.000082464,0x01,
"Async Serial [1]","data",43.014958756,0.000082464,0x09,
"Async Serial [1]","data",43.015045508,0.000082464,0xD8,
"Async Serial [1]","data",43.015132256,0.000082464,0x93,
"Async Serial","data",43.025940832,0.000082464,0xAA,
"Async Serial","data",43.02602738,0.000082464,0xAA,
"Async Serial","data",43.026113924,0.000082464,0x08,
"Async Serial","data",43.026200476,0.000082464,0x01,
"Async Serial","data",43.026287032,0.000082464,0x09,
"Async Serial","data",43.02637356,0.000082464,0x01,
"Async Serial","data",43.026460132,0.000082464,0x1D,
"Async Serial","data",43.02654676,0.000082464,0xBA,
"Async Serial","data",43.03132892,0.000082464,0xAA,
"Async Serial","data",43.031415444,0.000082464,0xAA,
"Async Serial","data",43.031501992,0.000082464,0x12,
"Async Serial","data",43.031588504,0.000082464,0x02,
"Async Serial","data",43.031675092,0.000082464,0x09,
"Async Serial","data",43.031761728,0.000082464,0x00,
"Async Serial","data",43.031848312,0.000082464,0x00,
"Async Serial","data",43.03193482,0.000082464,0x01,
"Async Serial","data",43.032021364,0.000082464,0x00,
"Async Serial","data",43.032107932,0.000082464,0x02,
"Async Serial","data",43.032194492,0.000082464,0x00,
"Async Serial","data",43.032281036,0.000082464,0x00,
"Async Serial","data",43.032367584,0.000082464,0x07,
"Async Serial","data",43.032454116,0.000082464,0x7B,
"Async Serial","data",43.032540644,0.000082464,0x01,
"Async Serial","data",43.032627212,0.000082464,0xE2,
"Async Serial","data",43.032713776,0.000082464,0x68,
"Async Serial","data",43.032800336,0.000082464,0x7E,
"Async Serial [1]","data",43.234616052,0.000082464,0xAA,
"Async Serial [1]","data",43.2347028,0.000082464,0xAA,
"Async Serial [1]","data",43.234789552,0.000082464,0x07,
"Async Serial [1]","data",43.2348763,0.000082464,0x01,
"Async Serial [1]","data",43.234963048,0.000082464,0x0A,
"Async Serial [1]","data",43.2350498,0.000082464,0xE8,
"Async Serial [1]","data",43.235136548,0.000082464,0xF0,
"Async Serial","data",43.247365748,0.000082464,0xAA,
"Async Serial","data",43.247452324,0.000082464,0xAA,
"Async Serial","data",43.247538924,0.000082464,0x08,
"Async Serial","data",43.247625552,0.000082464,0x01,
"Async Serial","data",43.247712148,0.000082464,0x0A,
"Async Serial","data",43.247798728,0.000082464,0x01,
"Async Serial","data",43.2478853,0.000082464,0x48,
"Async Serial","data",43.2479719,0.000082464,0xE9,
"Async Serial","data",43.252762852,0.000082464,0xAA,
"Async Serial","data",43.252849388,0.000082464,0xAA,
"Async Serial","data",43.252935928,0.000082464,0x12,
"Async Serial","data",43.253022476,0.000082464,0x02,
"Async Serial","data",43.253109028,0.000082464,0x0A,
"Async Serial","data",43.25319556,0.000082464,0x00,
"Async Serial","data",43.253282092,0.000082464,0x00,
"Async Serial","data",43.2533686,0.000082464,0x01,
"Async Serial","data",43.253455144,0.000082464,0x00,
"Async Serial","data",43.253541724,0.000082464,0x02,
"Async Serial","data",43.253628248,0.000082464,0x00,
"Async Serial","data",43.253714784,0.000082464,0x00,
"Async Serial","data",43.253801328,0.000082464,0x07,
"Async Serial","data",43.25388788,0.000082464,0x7B,
"Async Serial","data",43.253974416,0.000082464,0x01,
"Async Serial","data",43.254060944,0.000082464,0xE2,
"Async Serial","data",43.254147452,0.000082464,0x6D,
"Async Serial","data",43.254233992,0.000082464,0xE1,
"Async Serial [1]","data",43.45459366,0.000082464,0xAA,
