name,type,start_time,duration,"data"
"Async Serial","data",44.017509884,0.000082464,0xFF
"Async Serial","data",44.017596484,0.000082464,0x00
"Async Serial","data",44.017683064,0.000082464,0x00
"Async Serial","data",44.017769628,0.000082464,0x01
"Async Serial","data",44.01785622,0.000082464,0x00
"Async Serial","data",44.017942816,0.000082464,0x02
"Async Serial","data",44.01802942,0.000082464,0x00
"Async Serial","data",44.018116012,0.000082464,0x00
"Async Serial","data",44.018202576,0.000082464,0x07
"Async Serial","data",44.018289108,0.000082464,0x77
"Async Serial","data",44.018375692,0.000082464,0x01
"Async Serial","data",44.018462284,0.000082464,0xE1
"Async Serial","data",44.018548864,0.000082464,0x08
"Async Serial","data",44.018635444,0.000082464,0x53
"Async Serial","data",49.033054872,0.000082464,0xAA
"Async Serial","data",49.033141548,0.000082464,0xAA
"Async Serial","data",49.033228204,0.000082464,0x12
"Async Serial","data",49.033314876,0.000082464,0x02
"Async Serial","data",49.03340154,0.000082464,0xFF
"Async Serial","data",49.033488196,0.000082464,0x00
"Async Serial","data",49.03357486,0.000082464,0x00
"Async Serial","data",49.033661524,0.000082464,0x01
"Async Serial","data",49.033748208,0.000082464,0x00
"Async Serial","data",49.03383488,0.000082464,0x02
"Async Serial","data",49.033921532,0.000082464,0x00
"Async Serial","data",49.034008144,0.000082464,0x00
"Async Serial","data",49.034094788,0.000082464,0x07
"Async Serial","data",49.034181412,0.000082464,0x77
"Async Serial","data",49.034268012,0.000082464,0x01
"Async Serial","data",49.034354676,0.000082464,0xE1
"Async Serial","data",49.03444134,0.000082464,0x08
"Async Serial","data",49.034527976,0.000082464,0x53
"Async Serial [1]","data",49.988410244,0.000082464,0xAA
"Async Serial [1]","data",49.988496992,0.000082464,0xAA
"Async Serial [1]","data",49.988583744,0.000082464,0x07
"Async Serial [1]","data",49.988670492,0.000082464,0x0F
"Async Serial [1]","data",49.98875724,0.000082464,0x05
"Async Serial [1]","data",49.988843992,0.000082464,0x3A
"Async Serial [1]","data",49.98893074,0.000082464,0x10
"Async Serial","data",49.994424912,0.000082464,0xAA
"Async Serial","data",49.9945116,0.000082464,0xAA
"Async Serial","data",49.99459822,0.000082464,0x08
"Async Serial","data",49.99468484,0.000082464,0x0F
"Async Serial","data",49.994771448,0.000082464,0x05
"Async Serial","data",49.99485808,0.000082464,0x01
"Async Serial","data",49.994944716,0.000082464,0x43
"Async Serial","data",49.995031368,0.000082464,0xD6
